,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,AS,R7,ST,BS,P7,TO,PC1,PC2,cluster
0,ABBINGH Lois,15,6,1,1,3,2,0,0,1,1,0,0,15,22,0,4,24,0,1,2,2,21,1.0574842960498259,-0.6638920667752392,4
1,ABINA Ana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783176,-0.10617571327858571,1
2,ABINA Ema,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,-0.3413745035620313,-0.034847820799496464,1
3,AGBABA Jelena,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4303173414357082,-0.058784375604292456,1
4,ARDERIUS Silvia,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,4,-0.24400697664461476,-0.12207127074389612,0
5,ARNTZEN Emilie,0,0,2,0,0,2,0,0,0,0,0,0,6,13,0,2,6,0,0,3,1,5,0.04749786338745822,-0.3092513706328419,0
6,AUNE Malin,0,0,0,1,10,4,0,0,2,4,0,0,0,0,0,1,1,1,3,0,2,0,0.010024149201638499,0.6790509446905294,2
7,BABOVIC Anastasija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783177,-0.10617571327858542,1
8,BATINOVIC Marta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,-0.4054458855540741,-0.08298985526703204,1
9,BEHNKE Julia,0,0,7,4,0,0,0,0,2,3,0,0,0,0,0,2,8,9,6,2,2,3,0.4400957407599894,0.43666023520094344,4
10,BERGER Amelie,0,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,-0.19186854009942395,0.3001902177542017,2
11,BESEN Lucija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4462076482783176,-0.10617571327858571,1
12,BIDSTRUP Mia Rej,9,1,4,3,9,2,1,0,3,0,1,0,6,10,0,1,14,2,0,1,3,15,0.6288630472191401,-0.08723489995000325,4
13,BIRO Blanka,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.4280806349924702,-0.10284426626638514,1
14,BLAZEVIC Valentina,3,4,1,1,2,3,5,0,2,0,0,0,9,19,0,1,11,2,4,1,4,14,0.7616469416201603,-0.34548868844800573,4
15,BLOHM Linn,0,0,16,2,4,3,0,0,2,1,0,0,2,0,0,3,6,9,3,3,0,7,0.4416280603909139,0.3218935966800166,4
16,BOBROVNIKOVA Vladlena,0,0,1,0,7,2,4,2,0,0,0,0,9,7,0,4,20,4,2,1,7,11,0.7808762307503485,-0.07702417830918327,4
17,BOLK Emily,0,0,1,0,1,1,2,0,0,0,0,0,15,25,0,5,7,2,2,0,4,11,0.6752164098725534,-0.48578225152062765,4
18,BONT Debbie,0,0,3,0,7,5,0,0,2,0,0,0,1,0,0,2,6,3,2,0,3,5,0.1438679123756603,0.2777868688514309,3
19,BREISTOL Kristine,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,1,1,1,0,-0.2880424679618052,-0.11407346353008721,0
20,BUCESCHI Eliza,5,2,0,1,2,4,3,1,1,1,0,0,6,7,0,2,9,3,3,0,4,18,0.6948824332075407,-0.11641067185907977,4
21,BURGAARD Louise Katharina,0,0,1,2,5,2,2,0,1,0,0,0,2,5,0,2,7,1,2,1,1,7,0.13850043198426115,-0.007340066967597876,3
22,CAMPOS Carmen,0,0,3,0,5,2,0,2,0,1,0,0,1,2,0,1,5,3,2,1,2,15,0.31600094278466545,0.03487941574186549,4
23,CASTELLANOS Mercedes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.41790415547397597,-0.12088871082292423,1
24,COATANEA Pauline,0,0,0,0,5,6,0,0,6,0,0,0,0,0,0,0,2,1,5,0,4,6,0.10630047387732186,0.3811580810914373,2
25,COPI Ziva,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.37869974866368716,0.004532537736908459,0
26,CSISZAR-SZEKERES Klara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,0,0,-0.3125855367723286,-0.07696116828981824,1
27,DALE Kari,0,0,19,3,2,1,0,0,3,1,0,0,0,0,0,3,6,5,3,10,2,5,0.4199775310356124,0.27011648786588033,4
28,DANO Nina,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,2,3,0,1,1,6,-0.0853616322002775,-0.1943810121472576,0
29,DARLEUX Cleopatre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.38315221463361304,-0.13900803045910468,1
30,DEBELIC Ana,0,0,23,3,0,1,0,0,0,0,0,0,0,0,0,3,3,2,4,1,8,3,0.38985221963723965,0.2411972519511634,3
31,DEDU Denisa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,-0.3539072751266093,-0.025558552419624247,1
32,DEMBELE PAVLOVIC Siraba,0,0,1,0,7,1,0,0,6,1,0,0,0,0,0,1,2,1,4,0,2,1,-0.05797072526864015,0.3702923423192698,2
33,DESPOTOVIC Jelena,0,1,3,0,8,9,1,0,3,1,0,0,10,12,0,0,25,6,2,1,0,13,0.6662666137767713,0.08430389731273139,4
