,Team,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,AS,R7,ST,BS,P7,TO,PC1,PC2,cluster
0,CRO,16,7,49,12,41,32,20,4,10,7,0,0,57,84,2,28,96,25,33,15,42,98,-3.0079760675502847,4.2261421814078535,3
1,CZE,8,5,4,3,22,10,5,3,5,4,0,0,25,40,0,10,22,13,12,3,24,40,5.047346277935863,0.3646959531583285,0
2,DEN,20,7,23,15,75,39,21,5,22,7,3,0,45,71,0,25,94,27,39,29,32,84,-3.174268957916857,0.7599005848686949,3
3,ESP,26,5,24,16,50,39,5,11,16,7,1,1,25,35,1,24,83,31,24,10,21,94,-0.9344442604005111,-0.32420751117626595,1
4,FRA,21,11,36,24,56,34,17,4,38,12,0,0,41,48,1,26,90,32,55,20,34,96,-4.118907214202646,1.3690642960085182,3
5,GER,15,12,24,12,32,27,22,14,20,11,0,0,32,63,0,27,76,27,26,13,30,72,-1.2061750453763684,0.05628474438735801,1
6,HUN,17,6,14,10,46,36,25,13,19,6,0,2,35,62,0,13,80,24,23,11,25,79,-0.21053978912875457,-1.3565869756979727,4
7,MNE,20,3,25,5,44,47,4,6,20,7,0,2,35,44,0,17,77,23,28,8,20,77,0.47730673141532126,-1.030248763966365,4
8,NED,21,7,29,8,51,49,23,16,28,13,0,2,41,68,0,22,105,28,34,15,23,81,-2.7271877699445377,-1.8172797832926526,1
9,NOR,35,9,36,14,59,40,44,15,47,18,0,0,33,50,0,18,148,44,34,33,24,75,-5.388615776701656,-3.7024511465310566,2
10,POL,9,2,10,2,15,10,7,4,7,3,0,0,19,35,0,12,37,11,11,12,12,44,5.1982677688666135,-0.5430105515272278,0
11,ROU,14,6,30,8,30,34,12,6,11,11,1,0,37,65,0,17,72,20,10,7,20,92,0.6523339941230464,0.5272560969159859,4
12,RUS,15,6,28,6,62,33,23,6,19,7,0,3,46,61,0,24,81,21,30,12,28,78,-1.0431916241348285,0.002937671994865359,1
13,SLO,5,5,10,10,18,18,3,1,5,0,0,0,24,34,0,12,23,10,11,0,10,30,5.650701100193055,0.5242141756488738,0
14,SRB ,10,4,15,5,30,21,6,5,4,3,0,0,14,23,0,7,46,14,13,4,8,38,5.047539520425349,-1.1764341618775758,0
15,SWE,18,13,34,13,32,25,12,3,9,2,0,0,43,65,0,22,75,31,18,8,27,84,-0.26218888760280656,2.119723189678642,1
